Country_ID,Country,Geographical Coordinates,GDP (Adjusted to $US),Particulate Matter Emissions,C02 Emissions,Methane  Emissions,Environmental Agreements (party to),Electricity by Fossil Fules,Electricity by Nuclear,Electricity by Solar,Electricity by Wind,Electricity by Hydroelectricty,Electricity by Tide and Wave,Electricity by Geothermal,Urban Population (%),Net Migration
0,Algeria,"28 00 N, 3 00 E",$169.912 billion (2019 est.),35.17 micrograms per cubic meter (2016 est.),150.01 megatons (2016 est.),49.94 megatons (2020 est.),"Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Climate Change-Paris Agreement, Comprehensive Nuclear Test Ban, Desertification, Endangered Species, Environmental Modification, Hazardous Wastes, Law of the Sea, Ozone Layer Protection, Ship Pollution, Wetlands",98.9% of total installed capacity (2020 est.),0% of total installed capacity (2020 est.),0.9% of total installed capacity (2020 est.),0% of total installed capacity (2020 est.),0.1% of total installed capacity (2020 est.),0% of total installed capacity (2020 est.),0% of total installed capacity (2020 est.),74.8% of total population (2022),"-0.82 migrant(s)/1,000 population (2022 est.)"
1,Angola,"12 30 S, 18 30 E",$97.261 billion (2019 est.),27.95 micrograms per cubic meter (2016 est.),34.69 megatons (2016 est.),23.28 megatons (2020 est.),"Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Climate Change-Paris Agreement, Comprehensive Nuclear Test Ban, Desertification, Endangered Species, Hazardous Wastes, Law of the Sea, Marine Dumping-London Protocol, Ozone Layer Protection, Ship Pollution",28.4% of total installed capacity (2020 est.),0% of total installed capacity (2020 est.),0.1% of total installed capacity (2020 est.),0% of total installed capacity (2020 est.),70.1% of total installed capacity (2020 est.),0% of total installed capacity (2020 est.),0% of total installed capacity (2020 est.),68.1% of total population (2022),"-0.19 migrant(s)/1,000 population (2022 est.)"
2,Botswana,"22 00 S, 24 00 E",$18.335 billion (2019 est.),21.24 micrograms per cubic meter (2016 est.),6.34 megatons (2016 est.),5.73 megatons (2020 est.),"Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Climate Change-Paris Agreement, Desertification, Endangered Species, Hazardous Wastes, Law of the Sea, Nuclear Test Ban, Ozone Layer Protection, Wetlands",99.8% of total installed capacity (2020 est.),0% of total installed capacity (2020 est.),0.2% of total installed capacity (2020 est.),0% of total installed capacity (2020 est.),0% of total installed capacity (2020 est.),0% of total installed capacity (2020 est.),0% of total installed capacity (2020 est.),72.2% of total population (2022),"2.81 migrant(s)/1,000 population (2022 est.)"
3,Australia,"27 00 S, 133 00 E","$1,390,790,000,000 (2019 est.)",7.19 micrograms per cubic meter (2016 est.),375.91 megatons (2016 est.),105.01 megatons (2020 est.),"Antarctic-Environmental Protection, Antarctic-Marine Living Resources, Antarctic Seals, Antarctic Treaty, Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Climate Change-Paris Agreement, Comprehensive Nuclear Test Ban, Desertification, Endangered Species, Environmental Modification, Hazardous Wastes, Law of the Sea, Marine Dumping-London Convention, Marine Dumping-London Protocol, Marine Life Conservation, Nuclear Test Ban, Ozone Layer Protection, Ship Pollution, Tropical Timber 2006, Wetlands, Whaling",75.4% of total installed capacity (2020 est.),0% of total installed capacity (2020 est.),8.6% of total installed capacity (2020 est.),8.4% of total installed capacity (2020 est.),6.2% of total installed capacity (2020 est.),0% of total installed capacity (2020 est.),0% of total installed capacity (2020 est.),86.5% of total population (2022),"6.93 migrant(s)/1,000 population (2022 est.)"
4,New Zealand,"41 00 S, 174 00 E",$205.202 billion (2019 est.),5.73 micrograms per cubic meter (2016 est.),34.38 megatons (2016 est.),34.3 megatons (2020 est.),"Antarctic-Environmental Protection, Antarctic-Marine Living Resources, Antarctic Treaty, Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Climate Change-Paris Agreement, Comprehensive Nuclear Test Ban, Desertification, Endangered Species, Environmental Modification, Hazardous Wastes, Law of the Sea, Marine Dumping-London Convention, Marine Dumping-London Protocol, Nuclear Test Ban, Ozone Layer Protection, Ship Pollution, Tropical Timber 2006, Wetlands, Whaling",19.5% of total installed capacity (2020 est.),0% of total installed capacity (2020 est.),0.4% of total installed capacity (2020 est.),5.3% of total installed capacity (2020 est.),54.8% of total installed capacity (2020 est.),0.1% of total installed capacity (2020 est.),18.6% of total installed capacity (2020 est.),86.9% of total population (2022),"5.83 migrant(s)/1,000 population (2022 est.)"
5,Antigua and Barbuda,"17 03 N, 61 48 W",$1.524 billion (2017 est.),17.92 micrograms per cubic meter (2016 est.),0.56 megatons (2016 est.),0.22 megatons (2020 est.),"Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Climate Change-Paris Agreement, Comprehensive Nuclear Test Ban, Desertification, Endangered Species, Environmental Modification, Hazardous Wastes, Law of the Sea, Marine Dumping-London Convention, Marine Dumping-London Protocol, Nuclear Test Ban, Ozone Layer Protection, Ship Pollution, Wetlands, Whaling",95.4% of total installed capacity (2020 est.),0% of total installed capacity (2020 est.),4.6% of total installed capacity (2020 est.),0% of total installed capacity (2020 est.),0% of total installed capacity (2020 est.),0% of total installed capacity (2020 est.),0% of total installed capacity (2020 est.),24.3% of total population (2022),"2.03 migrant(s)/1,000 population (2022 est.)"
6,Barbados,"13 10 N, 59 32 W",$4.99 billion (2017 est.),22.24 micrograms per cubic meter (2016 est.),1.28 megatons (2016 est.),2.35 megatons (2020 est.),"Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Climate Change-Paris Agreement, Comprehensive Nuclear Test Ban, Desertification, Endangered Species, Hazardous Wastes, Law of the Sea, Marine Dumping-London Convention, Marine Dumping-London Protocol, Ozone Layer Protection, Ship Pollution, Wetlands",95.9% of total installed capacity (2020 est.),0% of total installed capacity (2020 est.),4.1% of total installed capacity (2020 est.),0% of total installed capacity (2020 est.),0% of total installed capacity (2020 est.),0% of total installed capacity (2020 est.),0% of total installed capacity (2020 est.),31.3% of total population (2022),"-0.29 migrant(s)/1,000 population (2022 est.)"
7,Albania,"41 00 N, 20 00 E",$15.273 billion (2019 est.),17.87 micrograms per cubic meter (2016 est.),4.54 megatons (2016 est.),2.55 megatons (2020 est.),"Air Pollution, Air Pollution-Nitrogen Oxides, Air Pollution-Sulphur 85, Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Climate Change-Paris Agreement, Comprehensive Nuclear Test Ban, Desertification, Endangered Species, Hazardous Wastes, Law of the Sea, Ozone Layer Protection, Ship Pollution, Tropical Timber 2006, Wetlands",0% of total installed capacity (2020 est.),0% of total installed capacity (2020 est.),0.6% of total installed capacity (2020 est.),0% of total installed capacity (2020 est.),99.4% of total installed capacity (2020 est.),0% of total installed capacity (2020 est.),0% of total installed capacity (2020 est.),63.8% of total population (2022),"-3.23 migrant(s)/1,000 population (2022 est.)"
8,Austria,"47 20 N, 13 20 E",$445.025 billion (2019 est.),12.43 micrograms per cubic meter (2016 est.),61.45 megatons (2016 est.),6.34 megatons (2020 est.),"Air Pollution, Air Pollution-Heavy Metals, Air Pollution-Nitrogen Oxides, Air Pollution-Persistent Organic Pollutants, Air Pollution-Sulphur 85, Air Pollution-Sulphur 94, Air Pollution-Volatile Organic Compounds, Antarctic Treaty, Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Climate Change-Paris Agreement, Comprehensive Nuclear Test Ban, Desertification, Endangered Species, Environmental Modification, Hazardous Wastes, Law of the Sea, Nuclear Test Ban, Ozone Layer Protection, Ship Pollution, Tropical Timber 2006, Wetlands, Whaling",17.4% of total installed capacity (2020 est.),0% of total installed capacity (2020 est.),2.8% of total installed capacity (2020 est.),9.4% of total installed capacity (2020 est.),62.9% of total installed capacity (2020 est.),0% of total installed capacity (2020 est.),0% of total installed capacity (2020 est.),59.3% of total population (2022),"3.55 migrant(s)/1,000 population (2022 est.)"
9,Germany,"51 00 N, 9 00 E","$3,860,923,000,000 (2019 est.)",11.71 micrograms per cubic meter (2016 est.),727.97 megatons (2016 est.),49.92 megatons (2020 est.),"Air Pollution, Air Pollution-Heavy Metals, Air Pollution-Multi-effect Protocol, Air Pollution-Nitrogen Oxides, Air Pollution-Persistent Organic Pollutants, Air Pollution-Sulphur 85, Air Pollution-Sulphur 94, Air Pollution-Volatile Organic Compounds, Antarctic-Environmental Protection, Antarctic-Marine Living Resources, Antarctic Seals, Antarctic Treaty, Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Climate Change-Paris Agreement, Comprehensive Nuclear Test Ban, Desertification, Endangered Species, Environmental Modification, Hazardous Wastes, Law of the Sea, Marine Dumping-London Convention, Marine Dumping-London Protocol, Nuclear Test Ban, Ozone Layer Protection, Ship Pollution, Tropical Timber 2006, Wetlands, Whaling",40.5% of total installed capacity (2020 est.),11.1% of total installed capacity (2020 est.),9.2% of total installed capacity (2020 est.),23.9% of total installed capacity (2020 est.),4.5% of total installed capacity (2020 est.),0.2% of total installed capacity (2020 est.),0% of total installed capacity (2020 est.),77.6% of total population (2022),"1.78 migrant(s)/1,000 population (2022 est.)"
10,United Kingdom,"54 00 N, 2 00 W","$2,827,918,000,000 (2019 est.)",10.53 micrograms per cubic meter (2016 est.),379.02 megatons (2016 est.),49.16 megatons (2020 est.),"Air Pollution, Air Pollution-Heavy Metals, Air Pollution-Multi-effect Protocol, Air Pollution-Nitrogen Oxides, Air Pollution-Persistent Organic Pollutants, Air Pollution-Sulphur 94, Air Pollution-Volatile Organic Compounds, Antarctic-Environmental Protection, Antarctic-Marine Living Resources, Antarctic Seals, Antarctic Treaty, Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Climate Change-Paris Agreement, Comprehensive Nuclear Test Ban, Desertification, Endangered Species, Environmental Modification, Hazardous Wastes, Law of the Sea, Marine Dumping-London Convention, Marine Dumping-London Protocol, Marine Life Conservation, Nuclear Test Ban, Ozone Layer Protection, Ship Pollution, Tropical Timber 2006, Wetlands, Whaling",37.8% of total installed capacity (2020 est.),15.2% of total installed capacity (2020 est.),4.3% of total installed capacity (2020 est.),25.2% of total installed capacity (2020 est.),2.6% of total installed capacity (2020 est.),0% of total installed capacity (2020 est.),0% of total installed capacity (2020 est.),84.4% of total population (2022),"3.59 migrant(s)/1,000 population (2022 est.)"
11,Canada,"60 00 N, 95 00 W","$1,741,865,000,000 (2019 est.)",6.48 micrograms per cubic meter (2016 est.),544.89 megatons (2016 est.),101.82 megatons (2020 est.),"Air Pollution, Air Pollution-Heavy Metals, Air Pollution-Multi-effect Protocol, Air Pollution-Nitrogen Oxides, Air Pollution-Persistent Organic Pollutants, Air Pollution-Sulphur 85, Air Pollution-Sulphur 94, Antarctic-Environmental Protection, Antarctic-Marine Living Resources, Antarctic Treaty, Biodiversity, Climate Change, Climate Change-Paris Agreement, Comprehensive Nuclear Test Ban, Desertification, Endangered Species, Environmental Modification, Hazardous Wastes, Law of the Sea, Marine Dumping-London Convention, Marine Dumping-London Protocol, Nuclear Test Ban, Ozone Layer Protection, Ship Pollution, Wetlands",16.5% of total installed capacity (2020 est.),14.7% of total installed capacity (2020 est.),0.7% of total installed capacity (2020 est.),5.7% of total installed capacity (2020 est.),60.8% of total installed capacity (2020 est.),0% of total installed capacity (2020 est.),0% of total installed capacity (2020 est.),81.8% of total population (2022),"5.46 migrant(s)/1,000 population (2022 est.)"
12,Mexico,"23 00 N, 102 00 W","$1,269,956,000,000 (2019 est.)",20.08 micrograms per cubic meter (2016 est.),486.41 megatons (2016 est.),135.77 megatons (2020 est.),"Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Climate Change-Paris Agreement, Comprehensive Nuclear Test Ban, Desertification, Endangered Species, Hazardous Wastes, Law of the Sea, Marine Dumping-London Convention, Marine Dumping-London Protocol, Marine Life Conservation, Nuclear Test Ban, Ozone Layer Protection, Ship Pollution, Tropical Timber 2006, Wetlands, Whaling",75.7% of total installed capacity (2020 est.),3.6% of total installed capacity (2020 est.),4.4% of total installed capacity (2020 est.),6.5% of total installed capacity (2020 est.),7.6% of total installed capacity (2020 est.),0% of total installed capacity (2020 est.),1.5% of total installed capacity (2020 est.),81.3% of total population (2022),"-0.76 migrant(s)/1,000 population (2022 est.)"
13,United States,"38 00 N, 97 00 W","$21,433,228,000,000 (2019 est.)",7.4 micrograms per cubic meter (2016 est.),"5,006.3 megatons (2016 est.)",685.74 megatons (2020 est.),"Air Pollution, Air Pollution-Heavy Metals, Air Pollution-Multi-effect Protocol, Air Pollution-Nitrogen Oxides, Antarctic-Environmental Protection, Antarctic-Marine Living Resources, Antarctic Seals, Antarctic Treaty, Climate Change, Climate Change-Paris Agreement, Desertification, Endangered Species, Environmental Modification, Marine Dumping-London Convention, Marine Life Conservation, Nuclear Test Ban, Ozone Layer Protection, Ship Pollution, Tropical Timber 2006, Wetlands, Whaling",59.9% of total installed capacity (2020 est.),19.5% of total installed capacity (2020 est.),3.2% of total installed capacity (2020 est.),8.3% of total installed capacity (2020 est.),7% of total installed capacity (2020 est.),0% of total installed capacity (2020 est.),0.4% of total installed capacity (2020 est.),83.1% of total population (2022),"3.02 migrant(s)/1,000 population (2022 est.)"
